HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
C8913,"Mra w/o cont, lwr ext","Magnetic resonance angiography without contrast, lower extremity"
C8914,"Mra w/o fol w/cont, lwr ext","Magnetic resonance angiography without contrast followed by with contrast, lower extremity"
C8918,"Mra w/cont, pelvis","Magnetic resonance angiography with contrast, pelvis"
C8919,"Mra w/o cont, pelvis","Magnetic resonance angiography without contrast, pelvis"
C8920,"Mra w/o fol w/cont, pelvis","Magnetic resonance angiography without contrast followed by with contrast, pelvis"
C8921,"Tte w or w/o fol w/cont, com","Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; complete"
C8922,"Tte w or w/o fol w/cont, f/u","Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; follow-up or limited study"
C8923,"2d tte w or w/o fol w/con,co","Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, without spectral or color doppler echocardiography"
C8924,"2d tte w or w/o fol w/con,fu","Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, follow-up or limited study"
C8925,"2d tee w or w/o fol w/con,in","Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, real time with image documentation (2d) (with or without m-mode recording); including probe placement, image acquisition, interpretation and report"
C8926,"Tee w or w/o fol w/cont,cong","Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; including probe placement, image acquisition, interpretation and report"
C8927,"Tee w or w/o fol w/cont, mon","Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for monitoring purposes, including probe placement, real time 2-dimensional image acquisition and interpretation leading to ongoing (continuous) assessment of (dynamically changing) cardiac pumping function and to therapeutic measures on an immediate time basis"
C8928,"Tte w or w/o fol w/con,stres","Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report"
C8929,"Tte w or wo fol wcon,doppler","Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, with spectral doppler echocardiography, and with color flow doppler echocardiography"
C8930,"Tte w or w/o contr, cont ecg","Transthoracic echocardiography, with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report; including performance of continuous electrocardiographic monitoring, with physician supervision"
C8931,"Mra, w/dye, spinal canal","Magnetic resonance angiography with contrast, spinal canal and contents"
C8932,"Mra, w/o dye, spinal canal","Magnetic resonance angiography without contrast, spinal canal and contents"
C8933,"Mra, w/o&w/dye, spinal canal","Magnetic resonance angiography without contrast followed by with contrast, spinal canal and contents"
C8934,"Mra, w/dye, upper extremity","Magnetic resonance angiography with contrast, upper extremity"
C8935,"Mra, w/o dye, upper extr","Magnetic resonance angiography without contrast, upper extremity"
C8936,"Mra, w/o&w/dye, upper extr","Magnetic resonance angiography without contrast followed by with contrast, upper extremity"
C8937,Cad breast mri,"Computer-aided detection, including computer algorithm analysis of breast mri image data for lesion detection/characterization, pharmacokinetic analysis, with further physician review for interpretation (list separately in addition to code for primary procedure)"
C8957,"Prolonged iv inf, req pump","Intravenous infusion for therapy/diagnosis; initiation of prolonged infusion (more than 8 hours), requiring use of portable or implantable pump"
C9014,"Injection, cerliponase alfa","Injection, cerliponase alfa, 1 mg"
C9015,"C-1 esterase, haegarda","Injection, c-1 esterase inhibitor (human), haegarda, 10 units"
C9016,"Inj, triptorelin ext rel","Injection, triptorelin extended release, 3.75 mg"
C9021,"Injection, obinutuzumab","Injection, obinutuzumab, 10 mg"
C9022,"Injection, elosulfase alfa","Injection, elosulfase alfa, 1mg"
C9023,Inj testosterone undecanoate,"Injection, testosterone undecanoate, 1 mg"
C9024,"Inj, daunorubicin-cytarabine","Injection, liposomal, 1 mg daunorubicin and 2.27 mg cytarabine"
C9025,"Injection, ramucirumab","Injection, ramucirumab, 5 mg"
C9026,"Injection, vedolizumab","Injection, vedolizumab, 1 mg"
C9027,"Injection, pembrolizumab","Injection, pembrolizumab, 1 mg"
C9028,Inj. inotuzumab ozogamicin,"Injection, inotuzumab ozogamicin, 0.1 mg"
C9029,"Injection, guselkumab","Injection, guselkumab, 1 mg"
C9030,Inj copanlisib,"Injection, copanlisib, 1 mg"
C9031,"Lutetium lu 177 dotatate, tx","Lutetium lu 177, dotatate, therapeutic, 1 mci"
C9032,Voretigene neparvovec-rzyl,"Injection, voretigene neparvovec-rzyl, 1 billion vector genome"
C9033,"Inj, akynzeo","Injection, fosnetupitant 235 mg and palonosetron 0.25 mg"
C9034,"Injection, dexamethasone 9%","Injection, dexamethasone 9%, intraocular, 1 mcg"
C9035,"Injection, aristada initio","Injection, aripiprazole lauroxil (aristada initio), 1 mg"
C9036,"Injection, patisiran","Injection, patisiran, 0.1 mg"
C9037,"Injection, risperidone","Injection, risperidone (perseris), 0.5 mg"
C9038,Inj mogamulizumab-kpkc,"Injection, mogamulizumab-kpkc, 1 mg"
C9039,"Injection, plazomicin","Injection, plazomicin, 5 mg"
C9040,"Injection, fremanezumab-vfrm","Injection, fremanezumab-vfrm, 1mg"
C9041,"Inj, coagulation factor xa","Injection, coagulation factor xa (recombinant), inactivated (andexxa), 10 mg"
C9042,"Inj., belrapzo 1 mg","Injection, bendamustine hcl (belrapzo), 1 mg"
C9043,"Injection, levoleucovorin","Injection, levoleucovorin, 1 mg"
C9044,"Injection, cemiplimab-rwlc","Injection, cemiplimab-rwlc, 1 mg"
C9045,Moxetumomab pasudotox-tdfk,"Injection, moxetumomab pasudotox-tdfk, 0.01 mg"
C9046,Cocaine hcl nasal (goprelto),"Cocaine hydrochloride nasal solution (goprelto), 1 mg"
C9047,"Injection, caplacizumab-yhdp","Injection, caplacizumab-yhdp, 1 mg"
C9048,Dexamethasone ophth insert,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg"
C9049,"Injection, tagraxofusp-erzs","Injection, tagraxofusp-erzs, 10 mcg"
C9050,"Injection, emapalumab-lzsg","Injection, emapalumab-lzsg, 1 mg"
C9051,"Injection, omadacycline","Injection, omadacycline, 1 mg"
C9052,"Injection, ravulizumab-cwv","Injection, ravulizumab-cwvz, 10 mg"
C9053,"Inj,  crizanlizumab-tmca","Injection,  crizanlizumab-tmca, 1 mg"
C9054,"Injection, lefamulin","Injection, lefamulin (xenleta), 1 mg"
